,averageRating,datePublished,genre,name,ratingCount,releasedCountry
96,6.6,2014.0, Sci-Fi,The Amazing Spider-Man 2,374741.0,USA
97,7.0,1992.0,Action,Batman Returns,245106.0,USA
98,7.0,1992.0, Crime,Batman Returns,245106.0,USA
99,7.0,1992.0, Fantasy,Batman Returns,245106.0,USA
100,5.2,2007.0,Action,Ghost Rider,204019.0,USA
101,5.2,2007.0, Adventure,Ghost Rider,204019.0,USA
102,5.2,2007.0, Fantasy,Ghost Rider,204019.0,USA
103,5.2,2007.0, Horror,Ghost Rider,204019.0,USA
104,5.2,2007.0, Thriller,Ghost Rider,204019.0,USA
105,7.4,1999.0,Fantasy,Sleepy Hollow,298583.0,USA
106,7.4,1999.0, Horror,Sleepy Hollow,298583.0,USA
107,7.4,1999.0, Mystery,Sleepy Hollow,298583.0,USA
108,3.7,1997.0,Action,Batman & Robin,212220.0,USA
109,3.7,1997.0, Sci-Fi,Batman & Robin,212220.0,USA
110,7.1,2013.0,Action,Man of Steel,626124.0,USA
111,7.1,2013.0, Adventure,Man of Steel,626124.0,USA
112,7.1,2013.0, Fantasy,Man of Steel,626124.0,USA
113,7.1,2013.0, Sci-Fi,Man of Steel,626124.0,USA
114,6.1,2016.0,Action,Suicide Squad,499329.0,USA
115,6.1,2016.0, Adventure,Suicide Squad,499329.0,USA
116,6.1,2016.0, Fantasy,Suicide Squad,499329.0,USA
117,6.1,2016.0, Sci-Fi,Suicide Squad,499329.0,USA
118,7.3,2004.0,Action,Spider-Man 2,481528.0,USA
119,7.3,2004.0, Adventure,Spider-Man 2,481528.0,USA
120,7.3,2004.0, Sci-Fi,Spider-Man 2,481528.0,USA
121,4.3,2012.0,Action,Ghost Rider: Spirit of Vengeance,100414.0,USA
122,4.3,2012.0, Fantasy,Ghost Rider: Spirit of Vengeance,100414.0,USA
123,4.3,2012.0, Thriller,Ghost Rider: Spirit of Vengeance,100414.0,USA
124,7.3,1978.0,Action,Superman,143452.0,USA
125,7.3,1978.0, Adventure,Superman,143452.0,USA
126,7.3,1978.0, Drama,Superman,143452.0,USA
127,7.3,1978.0, Sci-Fi,Superman,143452.0,USA
128,6.7,2006.0,Action,X-Men: The Last Stand,437454.0,USA
129,6.7,2006.0, Adventure,X-Men: The Last Stand,437454.0,USA
130,6.7,2006.0, Sci-Fi,X-Men: The Last Stand,437454.0,USA
131,6.7,2006.0, Thriller,X-Men: The Last Stand,437454.0,USA
132,6.5,1989.0,Action,Ghostbusters II,161865.0,USA
133,6.5,1989.0, Comedy,Ghostbusters II,161865.0,USA
134,6.5,1989.0, Fantasy,Ghostbusters II,161865.0,USA
135,6.5,1989.0, Sci-Fi,Ghostbusters II,161865.0,USA
136,6.2,2009.0,Drama,Knowing,204738.0,USA
137,6.2,2009.0, Mystery,Knowing,204738.0,USA
138,6.2,2009.0, Sci-Fi,Knowing,204738.0,USA
139,6.2,2009.0, Thriller,Knowing,204738.0,USA
140,4.9,1983.0,Action,Superman III,57593.0,USA
141,4.9,1983.0, Comedy,Superman III,57593.0,USA
142,4.9,1983.0, Sci-Fi,Superman III,57593.0,USA
143,5.5,2011.0,Action,Green Lantern,246688.0,USA
144,5.5,2011.0, Adventure,Green Lantern,246688.0,USA
145,5.5,2011.0, Sci-Fi,Green Lantern,246688.0,USA
146,5.8,2009.0,Action,2012,318926.0,USA
147,5.8,2009.0, Adventure,2012,318926.0,USA
148,5.8,2009.0, Sci-Fi,2012,318926.0,USA
149,6.6,1998.0,Action,Armageddon,360300.0,USA
150,6.6,1998.0, Adventure,Armageddon,360300.0,USA
151,6.6,1998.0, Sci-Fi,Armageddon,360300.0,USA
152,6.6,1998.0, Thriller,Armageddon,360300.0,USA
153,6.6,2003.0,Action,Bad Boys II,200466.0,USA
154,6.6,2003.0, Comedy,Bad Boys II,200466.0,USA
155,6.6,2003.0, Crime,Bad Boys II,200466.0,USA
156,6.6,2003.0, Drama,Bad Boys II,200466.0,USA
157,6.6,2003.0, Thriller,Bad Boys II,200466.0,USA
158,7.4,2000.0,Action,X-Men,518757.0,USA
159,7.4,2000.0, Adventure,X-Men,518757.0,USA
160,7.4,2000.0, Sci-Fi,X-Men,518757.0,USA
161,6.8,1997.0,Action,Con Air,250494.0,USA
162,6.8,1997.0, Crime,Con Air,250494.0,USA
163,6.8,1997.0, Thriller,Con Air,250494.0,USA
164,7.0,1998.0,Action,Rush Hour,213136.0,USA
165,7.0,1998.0, Comedy,Rush Hour,213136.0,USA
166,7.0,1998.0, Crime,Rush Hour,213136.0,USA
167,7.0,1998.0, Thriller,Rush Hour,213136.0,USA
168,8.1,2012.0,Action,The Avengers,1130733.0,USA
169,8.1,2012.0, Adventure,The Avengers,1130733.0,USA
170,8.1,2012.0, Sci-Fi,The Avengers,1130733.0,USA
171,6.2,2012.0,Comedy,Dark Shadows,223289.0,USA
172,6.2,2012.0, Fantasy,Dark Shadows,223289.0,USA
173,6.2,2012.0, Horror,Dark Shadows,223289.0,USA
174,6.6,2000.0,Action,Shanghai Noon,108673.0,USA
175,6.6,2000.0, Adventure,Shanghai Noon,108673.0,USA
176,6.6,2000.0, Comedy,Shanghai Noon,108673.0,USA
177,6.6,2000.0, Western,Shanghai Noon,108673.0,USA
178,4.4,1984.0,Action,Supergirl,16306.0,USA
179,4.4,1984.0, Adventure,Supergirl,16306.0,USA
180,4.4,1984.0, Fantasy,Supergirl,16306.0,USA
181,4.4,1984.0, Romance,Supergirl,16306.0,USA
182,4.4,1984.0, Sci-Fi,Supergirl,16306.0,USA
183,7.0,1996.0,Action,Independence Day,482432.0,USA
184,7.0,1996.0, Adventure,Independence Day,482432.0,USA
185,7.0,1996.0, Sci-Fi,Independence Day,482432.0,USA
186,6.5,1997.0,Action,Air Force One,162995.0,USA
187,6.5,1997.0, Drama,Air Force One,162995.0,USA
188,6.5,1997.0, Thriller,Air Force One,162995.0,USA
189,6.5,1999.0,Action,Star Wars: Episode I - The Phantom Menace,631078.0,USA
190,6.5,1999.0, Adventure,Star Wars: Episode I - The Phantom Menace,631078.0,USA
191,6.5,1999.0, Fantasy,Star Wars: Episode I - The Phantom Menace,631078.0,USA
192,6.5,1999.0, Sci-Fi,Star Wars: Episode I - The Phantom Menace,631078.0,USA
193,5.4,2008.0,Action,Bangkok Dangerous,52017.0,USA
194,5.4,2008.0, Crime,Bangkok Dangerous,52017.0,USA
195,5.4,2008.0, Thriller,Bangkok Dangerous,52017.0,USA
196,7.0,2016.0,Action,X-Men: Apocalypse,333358.0,USA
197,7.0,2016.0, Adventure,X-Men: Apocalypse,333358.0,USA
198,7.0,2016.0, Sci-Fi,X-Men: Apocalypse,333358.0,USA
199,2.8,1997.0,Action,Steel,9778.0,USA
200,2.8,1997.0, Crime,Steel,9778.0,USA
201,2.8,1997.0, Sci-Fi,Steel,9778.0,USA
202,7.6,1984.0,Action,Indiana Jones and the Temple of Doom,387831.0,USA
203,7.6,1984.0, Adventure,Indiana Jones and the Temple of Doom,387831.0,USA
204,6.4,2008.0,Action,Hancock,397839.0,USA
205,6.4,2008.0, Drama,Hancock,397839.0,USA
206,6.4,2008.0, Fantasy,Hancock,397839.0,USA
207,8.0,2014.0,Action,X-Men: Days of Future Past,598435.0,USA
208,8.0,2014.0, Adventure,X-Men: Days of Future Past,598435.0,USA
209,8.0,2014.0, Sci-Fi,X-Men: Days of Future Past,598435.0,USA
210,8.0,2014.0, Thriller,X-Men: Days of Future Past,598435.0,USA
211,6.9,2011.0,Action,Captain America: The First Avenger,620863.0,USA
212,6.9,2011.0, Adventure,Captain America: The First Avenger,620863.0,USA
213,6.9,2011.0, Sci-Fi,Captain America: The First Avenger,620863.0,USA
214,6.2,2008.0,Action,Indiana Jones and the Kingdom of the Crystal Skull,378892.0,USA
215,6.2,2008.0, Adventure,Indiana Jones and the Kingdom of the Crystal Skull,378892.0,USA
216,6.2,2008.0, Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,378892.0,USA
217,5.3,2003.0,Action,Daredevil,193586.0,USA
218,5.3,2003.0, Crime,Daredevil,193586.0,USA
219,5.0,2014.0,Action,Tokarev,21322.0,USA
220,5.0,2014.0, Crime,Tokarev,21322.0,USA
221,5.0,2014.0, Thriller,Tokarev,21322.0,USA
222,6.5,1998.0,Action,U.S. Marshals,86555.0,USA
223,6.5,1998.0, Crime,U.S. Marshals,86555.0,USA
224,6.5,1998.0, Thriller,U.S. Marshals,86555.0,USA
225,6.7,2013.0,Action,The Wolverine,386766.0,USA
226,6.7,2013.0, Adventure,The Wolverine,386766.0,USA
227,6.7,2013.0, Sci-Fi,The Wolverine,386766.0,USA
228,8.0,2015.0,Action,Star Wars: Episode VII - The Force Awakens,757935.0,USA
229,8.0,2015.0, Adventure,Star Wars: Episode VII - The Force Awakens,757935.0,USA
230,8.0,2015.0, Fantasy,Star Wars: Episode VII - The Force Awakens,757935.0,USA
231,8.0,2015.0, Sci-Fi,Star Wars: Episode VII - The Force Awakens,757935.0,USA
232,7.2,2018.0,Action,Ant-Man and the Wasp,139862.0,USA
233,7.2,2018.0, Adventure,Ant-Man and the Wasp,139862.0,USA
234,7.2,2018.0, Comedy,Ant-Man and the Wasp,139862.0,USA
235,7.2,2018.0, Sci-Fi,Ant-Man and the Wasp,139862.0,USA
236,7.2,2007.0,Drama,I Am Legend,614288.0,USA
237,7.2,2007.0, Horror,I Am Legend,614288.0,USA
238,7.2,2007.0, Sci-Fi,I Am Legend,614288.0,USA
239,7.2,2007.0, Thriller,I Am Legend,614288.0,USA
240,6.5,2005.0,Adventure,War of the Worlds,376613.0,USA
241,6.5,2005.0, Sci-Fi,War of the Worlds,376613.0,USA
242,6.5,2005.0, Thriller,War of the Worlds,376613.0,USA
243,6.2,1997.0,Action,Yat goh ho yan,22573.0,USA
244,6.2,1997.0, Comedy,Yat goh ho yan,22573.0,USA
245,6.2,1997.0, Crime,Yat goh ho yan,22573.0,USA
246,8.3,1983.0,Action,Star Wars: Episode VI - Return of the Jedi,829146.0,USA
247,8.3,1983.0, Adventure,Star Wars: Episode VI - Return of the Jedi,829146.0,USA
248,8.3,1983.0, Fantasy,Star Wars: Episode VI - Return of the Jedi,829146.0,USA
249,8.3,1983.0, Sci-Fi,Star Wars: Episode VI - Return of the Jedi,829146.0,USA
250,6.4,2013.0,Crime,The Frozen Ground,50582.0,Netherlands
251,6.4,2013.0, Drama,The Frozen Ground,50582.0,Netherlands
252,6.4,2013.0, Mystery,The Frozen Ground,50582.0,Netherlands
253,6.4,2013.0, Thriller,The Frozen Ground,50582.0,Netherlands
254,6.8,2001.0,Horror,From Hell,136766.0,USA
255,6.8,2001.0, Mystery,From Hell,136766.0,USA
256,6.8,2001.0, Thriller,From Hell,136766.0,USA
257,5.4,1995.0,Action,Batman Forever,214211.0,USA
258,5.4,1995.0, Adventure,Batman Forever,214211.0,USA
259,5.4,1995.0, Fantasy,Batman Forever,214211.0,USA
260,8.0,2004.0,Adventure,Big Fish,382399.0,USA
261,8.0,2004.0, Drama,Big Fish,382399.0,USA
262,8.0,2004.0, Fantasy,Big Fish,382399.0,USA
263,8.0,2004.0, Romance,Big Fish,382399.0,USA
264,5.3,2016.0,Action,Ghostbusters,177837.0,USA
265,5.3,2016.0, Comedy,Ghostbusters,177837.0,USA
266,5.3,2016.0, Fantasy,Ghostbusters,177837.0,USA
267,5.3,2016.0, Sci-Fi,Ghostbusters,177837.0,USA
268,6.7,2016.0,Adventure,Miss Peregrine's Home for Peculiar Children,133694.0,USA
269,6.7,2016.0, Drama,Miss Peregrine's Home for Peculiar Children,133694.0,USA
270,6.7,2016.0, Fantasy,Miss Peregrine's Home for Peculiar Children,133694.0,USA
271,6.7,2016.0, Thriller,Miss Peregrine's Home for Peculiar Children,133694.0,USA
272,7.3,1997.0,Action,Face/Off,317142.0,USA
273,7.3,1997.0, Crime,Face/Off,317142.0,USA
274,7.3,1997.0, Sci-Fi,Face/Off,317142.0,USA
275,7.3,1997.0, Thriller,Face/Off,317142.0,USA
276,6.7,1999.0,Mystery,The Ninth Gate,150741.0,USA
277,6.7,1999.0, Thriller,The Ninth Gate,150741.0,USA
278,6.7,1995.0,Comedy,Don Juan DeMarco,44899.0,USA
279,6.7,1995.0, Drama,Don Juan DeMarco,44899.0,USA
280,6.7,1995.0, Romance,Don Juan DeMarco,44899.0,USA
281,6.5,1997.0,Action,The Lost World: Jurassic Park,330393.0,USA
282,6.5,1997.0, Adventure,The Lost World: Jurassic Park,330393.0,USA
283,6.5,1997.0, Sci-Fi,The Lost World: Jurassic Park,330393.0,USA
284,7.4,1985.0,Crime,Witness,75893.0,USA
285,7.4,1985.0, Drama,Witness,75893.0,USA
286,7.4,1985.0, Romance,Witness,75893.0,USA
287,7.4,1985.0, Thriller,Witness,75893.0,USA
288,7.0,2012.0,Action,The Amazing Spider-Man,509908.0,USA
289,7.0,2012.0, Adventure,The Amazing Spider-Man,509908.0,USA
290,7.0,2012.0, Sci-Fi,The Amazing Spider-Man,509908.0,USA
291,7.9,1994.0,Biography,Ed Wood,154486.0,USA
292,7.9,1994.0, Comedy,Ed Wood,154486.0,USA
293,7.9,1994.0, Drama,Ed Wood,154486.0,USA
294,6.4,2005.0,Biography,The Libertine,33133.0,USA
295,6.4,2005.0, Drama,The Libertine,33133.0,USA
296,6.4,2005.0, History,The Libertine,33133.0,USA
297,6.4,2005.0, Romance,The Libertine,33133.0,USA
298,5.7,2005.0,Action,Fantastic Four,290860.0,USA
299,5.7,2005.0, Adventure,Fantastic Four,290860.0,USA
300,5.7,2005.0, Fantasy,Fantastic Four,290860.0,USA
301,5.7,2005.0, Sci-Fi,Fantastic Four,290860.0,USA
302,4.7,2005.0,Action,Elektra,79844.0,USA
303,4.7,2005.0, Adventure,Elektra,79844.0,USA
304,4.7,2005.0, Crime,Elektra,79844.0,USA
305,4.7,2005.0, Fantasy,Elektra,79844.0,USA
306,4.7,2005.0, Thriller,Elektra,79844.0,USA
307,6.8,1993.0,Action,Cung on zo,4957.0,Hong Kong
308,6.8,1993.0, Crime,Cung on zo,4957.0,Hong Kong
309,6.8,1993.0, Drama,Cung on zo,4957.0,Hong Kong
310,7.6,2001.0,Drama,Moulin Rouge!,246730.0,USA
311,7.6,2001.0, Musical,Moulin Rouge!,246730.0,USA
312,7.6,2001.0, Romance,Moulin Rouge!,246730.0,USA
313,8.0,1984.0,Action,The Terminator,703456.0,USA
314,8.0,1984.0, Sci-Fi,The Terminator,703456.0,USA
315,7.3,2004.0,Drama,The Phantom of the Opera,107348.0,USA
316,7.3,2004.0, Musical,The Phantom of the Opera,107348.0,USA
317,7.3,2004.0, Romance,The Phantom of the Opera,107348.0,USA
318,7.3,2004.0, Thriller,The Phantom of the Opera,107348.0,USA
319,7.2,1984.0,Comedy,Gremlins,169436.0,USA
320,7.2,1984.0, Fantasy,Gremlins,169436.0,USA
321,7.2,1984.0, Horror,Gremlins,169436.0,USA
322,7.5,2004.0,Crime,Collateral,327409.0,USA
323,7.5,2004.0, Drama,Collateral,327409.0,USA
324,7.5,2004.0, Thriller,Collateral,327409.0,USA
325,4.7,2010.0,Action,Jonah Hex,50613.0,USA
326,4.7,2010.0, Drama,Jonah Hex,50613.0,USA
327,4.7,2010.0, Fantasy,Jonah Hex,50613.0,USA
328,4.7,2010.0, Thriller,Jonah Hex,50613.0,USA
329,4.7,2010.0, Western,Jonah Hex,50613.0,USA
330,7.9,2014.0,Action,Edge of Tomorrow,525400.0,USA
331,7.9,2014.0, Sci-Fi,Edge of Tomorrow,525400.0,USA
332,6.2,2003.0,Action,Shanghai Knights,91468.0,USA
333,6.2,2003.0, Adventure,Shanghai Knights,91468.0,USA
334,6.2,2003.0, Comedy,Shanghai Knights,91468.0,USA
335,4.3,2011.0,Action,Superman: Requiem,541.0,USA
336,4.3,2011.0, Adventure,Superman: Requiem,541.0,USA
337,4.3,2011.0, Drama,Superman: Requiem,541.0,USA
338,4.3,2011.0, Fantasy,Superman: Requiem,541.0,USA
339,4.3,2011.0, Sci-Fi,Superman: Requiem,541.0,USA
340,6.8,1980.0,Action,Superman II,87882.0,USA
341,6.8,1980.0, Adventure,Superman II,87882.0,USA
342,6.8,1980.0, Sci-Fi,Superman II,87882.0,USA
343,5.4,2011.0,Action,Drive Angry,88498.0,USA
344,5.4,2011.0, Fantasy,Drive Angry,88498.0,USA
345,5.4,2011.0, Thriller,Drive Angry,88498.0,USA
346,6.0,2008.0,Action,Punisher: War Zone,55481.0,USA
347,6.0,2008.0, Adventure,Punisher: War Zone,55481.0,USA
348,6.0,2008.0, Crime,Punisher: War Zone,55481.0,USA
349,6.0,2008.0, Drama,Punisher: War Zone,55481.0,USA
350,6.0,2008.0, Thriller,Punisher: War Zone,55481.0,USA
351,3.1,2014.0,Action,Left Behind,31475.0,USA
352,3.1,2014.0, Drama,Left Behind,31475.0,USA
353,3.1,2014.0, Fantasy,Left Behind,31475.0,USA
354,3.1,2014.0, Mystery,Left Behind,31475.0,USA
355,3.1,2014.0, Thriller,Left Behind,31475.0,USA
356,5.8,1998.0,Action,Six Days Seven Nights,66899.0,USA
357,5.8,1998.0, Adventure,Six Days Seven Nights,66899.0,USA
358,5.8,1998.0, Comedy,Six Days Seven Nights,66899.0,USA
359,5.8,1998.0, Romance,Six Days Seven Nights,66899.0,USA
360,4.5,1989.0,Sci-Fi,The Return of Swamp Thing,3362.0,USA
361,4.5,1989.0, Horror,The Return of Swamp Thing,3362.0,USA
362,4.5,1989.0, Comedy,The Return of Swamp Thing,3362.0,USA
363,4.5,1989.0, Action,The Return of Swamp Thing,3362.0,USA
364,4.5,1989.0, Adventure,The Return of Swamp Thing,3362.0,USA
365,4.2,2017.0,Horror,Cain Hill,88.0,USA
366,4.2,2017.0, Thriller,Cain Hill,88.0,USA
367,7.8,1984.0,Action,Ghost Busters,313153.0,USA
368,7.8,1984.0, Comedy,Ghost Busters,313153.0,USA
369,7.8,1984.0, Fantasy,Ghost Busters,313153.0,USA
370,4.6,2014.0,Action,Outcast,11122.0,China
371,4.6,2014.0, Adventure,Outcast,11122.0,China
372,4.6,2014.0, Drama,Outcast,11122.0,China
373,4.6,2014.0, Thriller,Outcast,11122.0,China
374,7.6,2005.0,Crime,Lord of War,271931.0,USA
375,7.6,2005.0, Drama,Lord of War,271931.0,USA
376,7.6,2005.0, Thriller,Lord of War,271931.0,USA
377,6.2,2000.0,Drama,The Man Who Cried,13400.0,UK
378,6.2,2000.0, Music,The Man Who Cried,13400.0,UK
379,6.2,2000.0, Romance,The Man Who Cried,13400.0,UK
380,6.2,2000.0, War,The Man Who Cried,13400.0,UK
381,7.8,1993.0,Action,The Fugitive,238601.0,USA
382,7.8,1993.0, Crime,The Fugitive,238601.0,USA
383,7.8,1993.0, Drama,The Fugitive,238601.0,USA
384,7.8,1993.0, Mystery,The Fugitive,238601.0,USA
385,7.8,1993.0, Thriller,The Fugitive,238601.0,USA
386,5.5,2012.0,Action,Stolen,40595.0,United Arab Emirates
387,5.5,2012.0, Crime,Stolen,40595.0,United Arab Emirates
388,5.5,2012.0, Drama,Stolen,40595.0,United Arab Emirates
389,5.5,2012.0, Thriller,Stolen,40595.0,United Arab Emirates
390,8.3,2005.0,Action,Batman Begins,1150699.0,USA
391,8.3,2005.0, Adventure,Batman Begins,1150699.0,USA
392,8.3,2005.0, Thriller,Batman Begins,1150699.0,USA
393,6.4,2003.0,Action,Once Upon a Time in Mexico,142165.0,USA
394,6.4,2003.0, Thriller,Once Upon a Time in Mexico,142165.0,USA
395,5.8,2018.0,Action,The Last Man,82.0,USA
396,5.8,2018.0, Drama,The Last Man,82.0,USA
397,5.8,2018.0, Sci-Fi,The Last Man,82.0,USA
398,5.8,2018.0, Thriller,The Last Man,82.0,USA
399,6.6,2013.0,Action,Elysium,384836.0,USA
400,6.6,2013.0, Drama,Elysium,384836.0,USA
401,6.6,2013.0, Sci-Fi,Elysium,384836.0,USA
402,6.2,2011.0,Action,Seeking Justice,42158.0,Italy
403,6.2,2011.0, Crime,Seeking Justice,42158.0,Italy
404,6.2,2011.0, Drama,Seeking Justice,42158.0,Italy
405,6.2,2011.0, Mystery,Seeking Justice,42158.0,Italy
406,6.2,2011.0, Thriller,Seeking Justice,42158.0,Italy
407,6.9,1994.0,Comedy,The Mask,303831.0,USA
408,6.9,1994.0, Fantasy,The Mask,303831.0,USA
409,6.4,1992.0,Action,Seong lung wui,9835.0,USA
410,6.4,1992.0, Comedy,Seong lung wui,9835.0,USA
411,5.7,2018.0,H,Chop Shop,95.0,USA
412,5.7,2018.0, o,Chop Shop,95.0,USA
413,5.7,2018.0, r,Chop Shop,95.0,USA
414,5.7,2018.0, r,Chop Shop,95.0,USA
415,5.7,2018.0, o,Chop Shop,95.0,USA
416,5.7,2018.0, r,Chop Shop,95.0,USA
417,5.4,2002.0,Action,The Tuxedo,70987.0,USA
418,5.4,2002.0, Comedy,The Tuxedo,70987.0,USA
419,5.4,2002.0, Sci-Fi,The Tuxedo,70987.0,USA
420,5.4,2016.0,Crime,The Trust,15250.0,USA
421,5.4,2016.0, Drama,The Trust,15250.0,USA
422,5.4,2016.0, Thriller,The Trust,15250.0,USA
423,6.6,2004.0,Drama,Secret Window,165401.0,USA
